Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
University of North Carolina at GreensboroDoctoral | NC,856,55.00%,0.00%,7.20%,8.50%,4.70%,0.00%,73.40%,0.60%,1.80%,3.90%,21.00%
Old Dominion UniversityDoctoral | VA,851,45.60%,0.40%,12.70%,5.80%,4.00%,0.00%,63.60%,0.70%,7.40%,5.50%,23.50%
San Francisco State UniversityDoctoral | CA,849,53.00%,1.40%,23.10%,4.50%,7.10%,0.00%,54.60%,1.70%,4.80%,2.80%,37.70%
Yeshiva UniversityDoctoral | NY,844,38.10%,0.40%,20.50%,1.90%,4.70%,0.00%,51.70%,0.50%,20.40%,0.00%,28.00%
Northern Illinois UniversityDoctoral | IL,830,48.50%,0.20%,7.00%,2.80%,2.40%,0.00%,71.10%,0.60%,0.80%,15.10%,13.00%
Nova Southeastern UniversityDoctoral | FL,823,54.30%,0.10%,8.30%,7.60%,16.30%,0.40%,63.80%,0.60%,0.40%,2.50%,33.30%
American UniversityDoctoral | DC,822,48.80%,0.10%,8.40%,6.50%,5.80%,0.00%,75.80%,0.10%,0.60%,2.70%,20.90%
Central Michigan UniversityDoctoral | MI,822,43.20%,0.20%,10.50%,2.80%,2.80%,0.00%,78.70%,0.70%,0.50%,3.80%,17.00%
Arizona State University-SkysongDoctoral | AZ,813,53.50%,0.60%,8.60%,3.10%,7.90%,0.10%,72.30%,1.50%,2.80%,3.10%,21.80%
Marshall UniversityMaster's | WV,810,43.30%,0.40%,11.40%,3.60%,1.70%,0.00%,78.00%,0.00%,3.30%,1.60%,17.00%
University of Texas Health Science Center at San AntonioSpecial-Focus | TX,805,44.10%,0.00%,18.40%,2.70%,18.00%,0.10%,57.60%,0.30%,2.90%,0.00%,39.50%
California State University at FresnoDoctoral | CA,805,48.60%,0.80%,14.40%,3.70%,12.90%,0.10%,57.80%,1.40%,4.30%,4.60%,33.30%
San Jose State UniversityMaster's | CA,799,50.70%,0.40%,20.90%,2.90%,7.40%,0.10%,53.80%,1.90%,7.90%,4.80%,33.50%
California State University at SacramentoMaster's | CA,791,50.80%,1.10%,12.50%,4.50%,6.50%,0.00%,62.10%,1.30%,9.60%,2.40%,25.90%
University of South AlabamaDoctoral | AL,782,46.40%,0.10%,10.20%,5.10%,1.00%,0.10%,81.60%,1.40%,0.40%,0.00%,18.00%
Portland State UniversityDoctoral | OR,780,49.40%,0.60%,9.00%,2.80%,6.50%,0.10%,67.60%,3.10%,7.70%,2.60%,22.20%
University of Texas at El PasoDoctoral | TX,780,43.20%,0.10%,10.80%,2.20%,34.10%,0.10%,46.20%,0.90%,0.30%,5.40%,48.20%
Sam Houston State UniversityDoctoral | TX,778,47.90%,0.40%,7.30%,4.20%,6.70%,0.00%,75.40%,1.40%,0.00%,4.50%,20.10%
Boise State UniversityDoctoral | ID,769,48.90%,0.40%,6.50%,0.50%,3.00%,0.10%,84.90%,0.70%,0.40%,3.50%,11.20%
East Tennessee State UniversityDoctoral | TN,767,46.80%,0.10%,4.30%,2.90%,2.00%,0.30%,81.40%,1.80%,0.10%,7.20%,11.30%
Full Sail UniversityMaster's | FL,767,25.70%,0.00%,1.70%,5.70%,10.40%,0.50%,76.00%,1.60%,4.00%,0.00%,20.00%
Southern Methodist UniversityDoctoral | TX,763,41.10%,0.00%,8.50%,3.70%,5.90%,0.00%,73.50%,0.90%,0.00%,7.50%,19.00%
University of Rhode IslandDoctoral | RI,761,49.80%,0.40%,11.30%,3.30%,3.30%,0.00%,76.70%,0.00%,0.00%,5.00%,18.30%
Missouri State UniversityMaster's | MO,759,49.40%,0.80%,7.00%,4.10%,2.20%,0.00%,78.30%,2.40%,2.00%,3.30%,16.50%
Tarrant County College DistrictAssociate | TX,756,56.10%,1.50%,5.80%,11.80%,14.40%,0.00%,65.20%,0.10%,1.20%,0.00%,33.60%
Rowan UniversityDoctoral | NJ,752,47.60%,0.40%,9.00%,4.80%,3.90%,0.00%,68.60%,1.10%,1.50%,10.80%,19.10%
University of DenverDoctoral | CO,748,47.90%,0.30%,6.70%,2.50%,7.00%,0.00%,68.60%,2.70%,9.80%,2.50%,19.10%
"Bowling Green State University, Main CampusDoctoral | OH",744,50.10%,0.10%,7.80%,3.10%,3.90%,0.00%,78.90%,0.50%,0.00%,5.70%,15.50%
Fordham UniversityDoctoral | NY,742,44.20%,0.00%,10.20%,5.50%,4.90%,0.00%,65.50%,0.40%,6.10%,7.40%,21.00%
Binghamton UniversityDoctoral | NY,742,42.60%,0.50%,17.50%,3.60%,3.90%,0.00%,67.80%,0.70%,0.00%,5.90%,26.30%
Miami Dade CollegeAssociate | FL,739,51.80%,0.30%,4.20%,16.10%,45.20%,0.00%,32.50%,1.40%,0.40%,0.00%,67.10%
Texas Tech University Health Sciences CenterSpecial-Focus | TX,732,52.20%,0.30%,18.90%,5.20%,6.40%,0.00%,69.30%,0.00%,0.00%,0.00%,30.70%
University of WyomingDoctoral | WY,730,41.50%,0.40%,5.20%,1.40%,1.60%,0.10%,61.90%,0.30%,21.00%,8.10%,9.00%
University of ToledoDoctoral | OH,727,44.40%,0.70%,13.60%,4.00%,3.20%,0.10%,73.20%,0.10%,0.50%,4.50%,21.70%
Utah Valley UniversityMaster's | UT,723,33.50%,0.40%,5.10%,1.00%,3.60%,0.30%,83.40%,1.90%,2.50%,1.80%,12.30%
Texas Christian UniversityDoctoral | TX,722,48.30%,1.10%,6.70%,4.70%,4.90%,0.00%,80.60%,0.00%,0.10%,1.90%,17.30%
University of Massachusetts at BostonDoctoral | MA,718,51.70%,0.00%,15.70%,5.90%,5.70%,0.00%,68.30%,0.30%,0.00%,4.20%,27.60%
Eastern Michigan UniversityDoctoral | MI,718,51.00%,0.30%,10.60%,5.90%,2.40%,0.00%,63.50%,15.30%,0.10%,1.90%,34.40%
Louisiana State University Health Sciences Center-New OrleansSpecial-Focus | LA,716,46.70%,0.40%,14.10%,7.10%,5.50%,0.00%,71.10%,0.00%,0.10%,1.70%,27.10%
Wright State UniversityDoctoral | OH,714,45.50%,0.10%,9.00%,4.60%,1.50%,0.00%,71.60%,1.70%,2.00%,9.50%,17.00%
University of North GeorgiaMaster's | GA,714,50.70%,0.10%,7.40%,4.50%,4.60%,0.10%,75.10%,0.70%,1.80%,5.60%,17.50%
University of North DakotaDoctoral | ND,712,39.90%,0.80%,4.30%,1.00%,0.40%,0.00%,71.60%,1.40%,1.10%,19.20%,8.00%
Dartmouth CollegeDoctoral | NH,711,35.90%,1.00%,7.70%,2.70%,5.20%,0.10%,77.90%,2.00%,0.00%,3.40%,18.70%
California State University at Los AngelesMaster's | CA,709,51.10%,0.40%,22.30%,5.90%,16.80%,0.10%,43.70%,1.30%,4.00%,5.50%,46.80%
Western Kentucky UniversityMaster's | KY,708,50.30%,0.90%,8.50%,4.90%,1.70%,0.00%,81.90%,1.60%,0.30%,0.30%,17.50%
College of William & MaryDoctoral | VA,702,41.60%,0.10%,5.80%,3.90%,2.90%,0.00%,73.40%,1.10%,7.30%,5.60%,13.80%
Villanova UniversityDoctoral | PA,696,43.10%,0.00%,6.90%,3.70%,2.60%,0.00%,82.30%,0.10%,0.00%,4.30%,13.40%
University of North Carolina at WilmingtonMaster's | NC,688,52.30%,0.30%,4.10%,3.50%,5.50%,0.00%,76.70%,1.60%,0.60%,7.70%,15.00%
West Chester University of PennsylvaniaMaster's | PA,687,54.40%,0.00%,7.40%,4.70%,3.20%,0.00%,80.80%,0.00%,0.00%,3.90%,15.30%
Rice UniversityDoctoral | TX,683,33.70%,0.00%,12.00%,2.90%,6.30%,0.00%,72.30%,1.00%,0.00%,5.40%,22.30%
University at AlbanyDoctoral | NY,678,41.10%,0.40%,16.80%,3.80%,5.00%,0.00%,69.20%,0.10%,0.00%,4.60%,26.30%
University of Missouri at Kansas CityDoctoral | MO,676,46.80%,0.10%,11.70%,4.30%,4.30%,0.10%,72.80%,0.70%,3.10%,2.80%,21.30%
Marquette UniversityDoctoral | WI,674,44.10%,0.10%,7.40%,3.90%,3.60%,0.10%,80.70%,0.60%,0.10%,3.40%,15.70%
University of California at Santa CruzDoctoral | CA,666,43.10%,1.50%,13.70%,2.90%,10.20%,0.00%,62.30%,0.80%,3.50%,5.30%,29.00%
Creighton UniversityMaster's | NE,666,45.50%,0.60%,6.30%,3.00%,2.50%,0.00%,84.10%,0.80%,1.40%,1.40%,13.20%
University of AkronDoctoral | OH,661,42.70%,0.10%,15.00%,3.50%,2.00%,0.00%,73.10%,0.00%,2.00%,4.40%,20.60%
University of DaytonDoctoral | OH,652,44.60%,0.10%,10.00%,4.50%,3.70%,0.00%,76.80%,0.90%,0.00%,4.00%,19.20%
St. John's University (N.Y.)Doctoral | NY,651,45.30%,0.50%,14.30%,5.50%,5.10%,0.10%,69.60%,0.90%,0.10%,3.80%,26.40%
City University of New York Hunter CollegeMaster's | NY,650,53.40%,0.30%,10.60%,8.60%,10.30%,0.00%,65.80%,1.50%,0.00%,2.80%,31.40%
University of Southern MississippiDoctoral | MS,645,48.80%,0.50%,9.80%,4.70%,1.60%,0.00%,82.30%,0.20%,0.20%,0.90%,16.60%
Montclair State UniversityDoctoral | NJ,645,50.20%,0.00%,12.30%,6.00%,6.50%,0.00%,59.10%,1.20%,11.50%,3.40%,26.10%
South Texas CollegeAssociate | TX,645,39.80%,0.60%,8.70%,0.60%,59.20%,1.20%,28.70%,0.00%,0.90%,0.00%,70.40%
University of Louisiana at LafayetteDoctoral | LA,639,44.10%,0.20%,11.40%,4.90%,3.10%,0.00%,75.90%,0.20%,0.30%,4.10%,19.70%
Western Washington UniversityMaster's | WA,639,45.90%,0.80%,6.70%,1.40%,4.40%,0.20%,70.90%,3.60%,4.10%,8.00%,17.10%
University of Massachusetts at LowellDoctoral | MA,639,45.10%,0.00%,19.60%,2.20%,2.80%,0.00%,67.90%,1.30%,0.30%,5.90%,25.80%
University of New HampshireDoctoral | NH,630,47.10%,0.50%,10.20%,1.60%,2.50%,0.20%,76.20%,0.90%,7.10%,0.80%,15.90%
Oakland UniversityDoctoral | MI,626,49.00%,1.00%,16.00%,3.80%,3.20%,0.00%,67.70%,0.30%,1.30%,6.70%,24.30%
New Mexico State University at Las CrucesDoctoral | NM,625,44.20%,0.50%,9.40%,1.90%,17.80%,0.00%,64.30%,1.00%,0.00%,5.10%,30.60%
California State Polytechnic University at PomonaMaster's | CA,620,41.90%,0.50%,23.40%,2.70%,9.80%,0.30%,53.50%,0.30%,4.50%,4.80%,37.10%
Northern Virginia Community CollegeAssociate | VA,620,57.90%,0.20%,11.00%,13.20%,3.40%,0.00%,71.10%,1.10%,0.00%,0.00%,28.90%
Florida A&M UniversityDoctoral | FL,616,48.50%,0.30%,4.70%,68.30%,3.10%,0.00%,15.10%,0.20%,0.00%,8.30%,76.60%
Valencia CollegeAssociate | FL,613,57.40%,0.80%,5.90%,11.40%,10.00%,0.00%,68.80%,0.00%,3.10%,0.00%,28.10%
Southern Illinois University at EdwardsvilleMaster's | IL,613,49.80%,0.20%,10.60%,6.00%,3.60%,0.30%,74.40%,1.60%,0.20%,3.10%,22.40%
Eastern Kentucky UniversityMaster's | KY,608,50.70%,0.00%,3.80%,3.00%,1.80%,0.00%,85.50%,1.60%,0.20%,4.10%,10.20%
Loyola Marymount UniversityMaster's | CA,600,48.30%,0.20%,11.80%,6.00%,9.70%,0.20%,63.30%,1.80%,6.30%,0.70%,29.70%
University of IdahoDoctoral | ID,599,36.90%,0.50%,7.50%,1.30%,3.70%,0.00%,77.80%,1.00%,3.20%,5.00%,14.00%
University of Texas Medical BranchSpecial-Focus | TX,596,45.00%,0.30%,24.30%,3.40%,8.10%,0.20%,60.40%,1.50%,0.00%,1.80%,37.80%
Idaho State UniversityDoctoral | ID,593,47.20%,1.00%,5.40%,0.30%,1.80%,0.00%,84.80%,0.00%,5.10%,1.50%,8.60%
Montana State University at BozemanDoctoral | MT,589,43.00%,0.50%,3.40%,0.20%,1.20%,0.00%,87.90%,0.90%,2.90%,3.10%,6.10%
City University of New York Queens CollegeMaster's | NY,587,46.00%,0.00%,10.90%,6.80%,7.70%,0.00%,65.80%,1.50%,0.00%,7.30%,26.90%
Wake Technical Community CollegeAssociate | NC,583,61.10%,0.00%,3.10%,9.60%,2.10%,0.30%,76.50%,0.20%,7.50%,0.70%,15.30%
City College of San FranciscoAssociate | CA,581,60.60%,0.30%,19.30%,5.20%,11.20%,0.30%,55.30%,2.20%,1.90%,4.30%,38.60%
Austin Community CollegeAssociate | TX,578,56.90%,0.40%,4.30%,7.60%,15.20%,0.40%,70.60%,1.60%,0.00%,0.00%,29.40%
Brigham Young University-IdahoBaccalaureate | ID,576,17.70%,0.20%,0.50%,0.20%,1.60%,0.00%,94.80%,0.00%,2.80%,0.00%,2.40%
City College of City University of New YorkMaster's | NY,575,38.60%,0.00%,15.00%,8.50%,9.00%,0.00%,64.00%,0.00%,0.00%,3.50%,32.50%
Metropolitan State College of DenverMaster's | CO,570,51.70%,0.50%,7.90%,4.90%,9.80%,0.20%,73.90%,1.80%,1.10%,0.00%,25.10%
Santa Clara UniversityMaster's | CA,563,44.60%,0.00%,16.20%,3.00%,8.30%,0.20%,69.10%,0.70%,1.40%,1.10%,28.40%
Savannah College of Art and DesignSpecial-Focus | GA,563,40.80%,0.70%,4.60%,3.00%,3.50%,0.00%,80.80%,0.50%,0.40%,6.40%,12.40%
Northern Kentucky UniversityMaster's | KY,560,52.70%,0.20%,5.40%,4.60%,2.10%,0.20%,84.10%,0.70%,0.20%,2.50%,13.20%
Weber State UniversityMaster's | UT,560,46.40%,0.40%,4.50%,0.90%,3.80%,0.20%,87.70%,1.60%,0.00%,1.10%,11.30%
Rutgers University at NewarkDoctoral | NJ,560,38.20%,0.20%,9.80%,7.10%,3.60%,0.00%,45.40%,0.70%,22.30%,10.90%,21.40%
University of Central ArkansasMaster's | AR,558,52.30%,0.20%,5.70%,4.30%,2.00%,0.20%,82.40%,1.60%,0.20%,3.40%,14.00%
City University of New York Borough of Manhattan Community CollegeAssociate | NY,556,53.40%,0.20%,12.00%,16.90%,12.20%,0.00%,52.00%,1.10%,0.20%,5.40%,42.40%
North Dakota State UniversityDoctoral | ND,555,44.10%,0.70%,13.90%,1.40%,1.10%,0.00%,75.10%,0.20%,1.40%,6.10%,17.30%
Albany Medical CollegeSpecial-Focus | NY,554,39.40%,0.20%,17.90%,3.80%,1.30%,0.00%,74.00%,1.30%,0.00%,1.60%,24.40%
California State University at ChicoMaster's | CA,551,48.30%,0.40%,7.80%,1.60%,4.20%,0.00%,73.70%,1.30%,7.40%,3.60%,15.30%
Wichita State UniversityDoctoral | KS,548,46.70%,0.20%,5.70%,1.60%,2.40%,0.00%,71.00%,0.40%,1.80%,17.00%,10.20%
University of MaineDoctoral | ME,542,40.60%,0.40%,3.50%,0.50%,1.30%,0.00%,70.30%,0.70%,10.70%,12.60%,6.50%
Cleveland State UniversityDoctoral | OH,542,46.90%,0.20%,13.80%,5.90%,2.20%,0.00%,73.60%,0.90%,0.00%,3.30%,23.10%
Troy UniversityMaster's | AL,541,50.60%,0.50%,1.80%,7.20%,0.00%,0.00%,79.50%,0.00%,0.40%,10.50%,9.60%
South Dakota State UniversityDoctoral | SD,541,47.30%,0.50%,11.50%,1.10%,1.50%,0.00%,79.10%,0.50%,0.00%,5.70%,15.20%
University of Maryland-Baltimore CountyDoctoral | MD,540,48.00%,0.00%,15.70%,5.90%,4.40%,0.00%,70.00%,0.90%,0.00%,3.00%,27.00%
Lehigh UniversityDoctoral | PA,540,35.90%,0.00%,14.30%,2.80%,3.50%,0.00%,63.50%,0.90%,9.10%,5.90%,21.50%
University of Central OklahomaMaster's | OK,540,53.10%,2.40%,8.70%,2.40%,1.70%,0.00%,81.80%,0.00%,2.80%,0.20%,15.20%
Arizona State University-Downtown PhoenixDoctoral | AZ,536,63.60%,0.00%,5.80%,4.30%,7.30%,0.20%,74.30%,2.10%,4.30%,1.90%,19.60%
College of CharlestonMaster's | SC,534,46.40%,0.00%,3.90%,4.10%,5.40%,0.20%,79.40%,1.90%,2.80%,2.30%,15.50%
Stephen F. Austin State UniversityMaster's | TX,532,49.60%,0.80%,1.90%,2.80%,4.90%,0.00%,85.50%,1.70%,0.20%,2.30%,12.00%
Ithaca CollegeMaster's | NY,532,50.20%,0.40%,3.80%,3.00%,5.10%,0.00%,82.30%,1.10%,0.20%,4.10%,13.40%
University of West GeorgiaDoctoral | GA,530,57.00%,0.20%,6.40%,7.90%,2.80%,0.00%,74.00%,0.60%,6.80%,1.30%,17.90%
Texas State Technical CollegeAssociate | TX,529,30.30%,0.20%,0.40%,4.20%,26.80%,0.40%,66.70%,0.00%,1.30%,0.00%,31.90%
Western Illinois UniversityMaster's | IL,527,45.90%,0.40%,11.20%,4.90%,2.50%,0.20%,76.50%,0.80%,0.90%,2.70%,19.90%
Arkansas State University at JonesboroMaster's | AR,525,54.10%,0.60%,6.70%,6.70%,2.50%,0.20%,74.70%,1.30%,4.80%,2.70%,17.90%
University of Wisconsin at WhitewaterMaster's | WI,522,51.00%,0.40%,11.70%,3.10%,3.10%,0.00%,74.70%,1.00%,1.00%,5.20%,19.20%
University of Nebraska at OmahaDoctoral | NE,522,45.00%,1.90%,9.40%,4.20%,4.00%,0.00%,75.10%,1.00%,0.20%,4.20%,20.50%
Ferris State UniversityMaster's | MI,517,43.50%,0.40%,5.00%,2.90%,1.00%,0.20%,87.00%,0.80%,2.10%,0.60%,10.30%
Chapman UniversityMaster's | CA,517,41.80%,0.00%,6.00%,1.60%,3.90%,0.00%,48.70%,0.20%,30.60%,9.10%,11.60%
City University of New York Brooklyn CollegeMaster's | NY,516,45.70%,0.00%,12.20%,6.80%,6.60%,0.00%,69.20%,0.60%,0.20%,4.50%,26.20%
College of Southern NevadaAssociate | NV,515,47.00%,0.80%,8.20%,5.10%,6.80%,0.00%,76.70%,1.20%,1.00%,0.40%,21.90%
Indiana University of PennsylvaniaDoctoral | PA,514,48.60%,0.40%,9.70%,2.90%,2.70%,0.00%,78.60%,0.60%,2.50%,2.50%,16.30%
University of Northern ColoradoDoctoral | CO,514,52.70%,0.60%,3.50%,1.80%,5.60%,0.40%,81.30%,1.40%,0.60%,4.90%,13.20%
Seattle UniversityMaster's | WA,510,52.00%,0.20%,12.90%,3.30%,6.30%,0.00%,58.20%,0.00%,19.00%,0.00%,22.80%
Milwaukee Area Technical CollegeAssociate | WI,509,51.70%,1.20%,4.50%,17.70%,6.90%,0.00%,69.00%,0.00%,0.80%,0.00%,30.30%
San Jacinto College-Central CampusAssociate | TX,508,55.50%,0.20%,3.50%,11.80%,11.20%,0.20%,67.10%,2.40%,0.00%,3.50%,29.30%
Azusa Pacific UniversityDoctoral | CA,506,54.50%,0.80%,12.70%,6.50%,6.50%,0.80%,65.60%,0.60%,6.50%,0.00%,27.90%
University of North FloridaMaster's | FL,506,47.20%,1.80%,8.50%,5.10%,3.80%,0.00%,75.10%,0.00%,0.00%,5.70%,19.20%
Central Washington UniversityMaster's | WA,504,44.40%,0.40%,5.80%,2.40%,2.80%,0.80%,69.40%,2.40%,7.30%,8.70%,14.50%
Hofstra UniversityDoctoral | NY,502,46.20%,0.60%,8.60%,4.40%,3.60%,0.20%,77.50%,0.20%,1.60%,3.40%,17.50%
Southeastern Louisiana UniversityMaster's | LA,501,56.30%,0.20%,5.40%,5.40%,2.00%,0.00%,84.80%,0.00%,0.20%,2.00%,13.00%
Pace UniversityDoctoral | NY,498,53.60%,0.20%,10.40%,4.60%,3.80%,0.00%,73.70%,3.60%,0.20%,3.40%,22.70%
Western Carolina UniversityMaster's | NC,498,49.40%,0.40%,4.00%,1.60%,2.60%,0.20%,84.90%,1.20%,2.00%,3.00%,10.00%
Long Island University-C.W. PostMaster's | NY,497,52.50%,0.20%,13.30%,8.50%,5.80%,0.00%,69.60%,0.00%,0.00%,2.60%,27.80%
University of Northern IowaMaster's | IA,496,47.80%,0.00%,8.50%,2.40%,2.60%,0.20%,82.70%,0.20%,0.20%,3.20%,13.90%
University of Montana at MissoulaDoctoral | MT,496,41.10%,1.40%,3.20%,0.40%,3.00%,0.40%,88.10%,1.80%,1.20%,0.40%,10.30%
University of Alaska at AnchorageMaster's | AK,494,51.20%,3.90%,6.70%,2.00%,3.00%,0.40%,76.70%,1.80%,2.60%,2.80%,17.80%
State University of New York Upstate Medical UniversitySpecial-Focus | NY,494,35.60%,0.20%,18.00%,1.60%,2.80%,0.00%,71.90%,0.00%,0.00%,5.50%,22.70%
Duquesne UniversityDoctoral | PA,494,50.80%,0.80%,3.00%,3.00%,1.80%,0.00%,85.40%,0.20%,0.80%,4.90%,8.90%
City University of New York Bernard M. Baruch CollegeMaster's | NY,493,38.70%,0.20%,10.80%,5.70%,4.70%,0.00%,65.70%,0.20%,0.20%,12.60%,21.50%
University of Wisconsin at La CrosseMaster's | WI,491,50.30%,0.60%,7.10%,1.00%,2.90%,0.00%,83.10%,0.60%,0.60%,4.10%,12.20%
Coastal Carolina UniversityMaster's | SC,490,44.30%,0.00%,4.50%,4.90%,1.80%,0.00%,88.40%,0.20%,0.20%,0.00%,11.40%
University of Minnesota at DuluthMaster's | MN,490,43.90%,1.40%,12.20%,2.50%,1.40%,0.00%,76.10%,0.40%,0.40%,5.50%,18.00%
Seton Hall UniversityDoctoral | NJ,488,49.40%,0.20%,7.80%,4.10%,5.50%,0.00%,77.90%,0.00%,2.90%,1.60%,17.60%
University of San FranciscoDoctoral | CA,486,53.90%,0.20%,14.80%,4.30%,10.70%,0.20%,54.90%,3.70%,8.20%,2.90%,34.00%
University of Nebraska Medical CenterSpecial-Focus | NE,483,58.80%,0.40%,10.80%,1.90%,2.30%,0.20%,80.80%,0.40%,0.00%,3.30%,15.90%
Minnesota State University at MankatoMaster's | MN,479,46.80%,0.20%,11.50%,3.30%,2.10%,0.00%,76.80%,1.30%,2.30%,2.50%,18.40%
Morgan State UniversityDoctoral | MD,478,44.80%,0.60%,5.70%,44.40%,1.50%,0.20%,15.30%,1.90%,13.20%,17.40%,54.20%
University of Tennessee at ChattanoogaMaster's | TN,478,49.80%,0.20%,6.70%,7.30%,2.50%,0.40%,79.70%,0.60%,0.00%,2.50%,17.80%
Florida Gulf Coast UniversityMaster's | FL,477,46.10%,0.40%,7.80%,4.00%,5.70%,0.00%,77.40%,1.10%,0.00%,3.80%,18.90%
Montgomery CollegeAssociate | MD,476,60.10%,1.10%,5.90%,14.70%,5.00%,0.00%,62.80%,0.20%,0.00%,10.30%,26.90%
University of San DiegoDoctoral | CA,476,47.70%,0.40%,10.30%,4.40%,9.00%,0.00%,71.90%,1.30%,1.10%,1.70%,25.40%
California State University at San BernardinoMaster's | CA,474,50.20%,0.40%,16.50%,4.90%,12.20%,0.00%,56.30%,0.80%,5.30%,3.60%,34.80%
Lamar UniversityDoctoral | TX,473,47.80%,0.60%,17.50%,7.20%,4.70%,0.00%,68.10%,0.00%,0.60%,1.30%,30.00%
Touro College (N.Y.)Master's | NY,470,45.30%,0.00%,3.40%,3.60%,0.40%,0.00%,77.50%,0.40%,14.70%,0.00%,7.90%
Texas Woman's UniversityDoctoral | TX,469,74.40%,1.10%,10.20%,6.20%,5.30%,0.40%,74.20%,1.90%,0.60%,0.00%,25.20%
Indiana State UniversityDoctoral | IN,465,45.00%,0.20%,6.90%,4.30%,1.90%,0.00%,81.90%,1.70%,0.70%,2.40%,15.00%
Radford UniversityMaster's | VA,463,53.60%,0.20%,6.90%,3.70%,2.20%,0.00%,84.00%,0.90%,0.20%,1.90%,13.80%
Rensselaer Polytechnic InstituteDoctoral | NY,458,26.20%,0.00%,26.90%,3.50%,3.90%,0.00%,65.70%,0.00%,0.00%,0.00%,34.30%
Gonzaga UniversityMaster's | WA,457,45.10%,0.90%,4.60%,1.30%,3.50%,0.00%,83.60%,1.10%,1.50%,3.50%,11.40%
University of Central MissouriMaster's | MO,456,46.90%,0.20%,4.40%,4.00%,1.80%,0.40%,79.00%,1.10%,0.00%,9.20%,11.80%
North Carolina Agricultural and Technical State UniversityDoctoral | NC,449,42.80%,0.40%,16.50%,48.30%,1.60%,0.00%,24.10%,0.20%,5.30%,3.60%,67.00%
Georgia Gwinnett CollegeBaccalaureate | GA,449,51.90%,0.40%,12.50%,10.70%,3.60%,0.00%,66.40%,0.70%,1.30%,4.50%,27.80%
Mt. San Antonio CollegeAssociate | CA,449,52.30%,0.20%,12.50%,4.90%,18.90%,0.90%,51.70%,2.50%,7.30%,1.10%,39.90%
University of Wisconsin at OshkoshMaster's | WI,448,47.80%,0.70%,5.10%,1.30%,1.60%,0.00%,85.30%,0.40%,3.80%,1.80%,9.20%
Central Connecticut State UniversityMaster's | CT,448,44.60%,0.40%,9.80%,5.10%,6.90%,0.00%,72.50%,0.90%,0.90%,3.40%,23.20%
Eastern Washington UniversityMaster's | WA,447,47.90%,0.70%,3.60%,2.70%,2.70%,0.00%,79.00%,1.60%,0.00%,9.80%,11.20%
Georgia State Universiy?s Perimeter CollegeAssociate | GA,447,58.60%,0.40%,4.70%,24.20%,1.60%,0.00%,66.90%,1.10%,0.00%,1.10%,32.00%
University of South DakotaDoctoral | SD,445,48.30%,1.40%,9.00%,1.80%,3.10%,0.00%,83.80%,0.90%,0.00%,0.00%,16.20%
Murray State UniversityMaster's | KY,444,46.20%,0.40%,6.10%,3.60%,0.90%,0.00%,78.80%,1.80%,0.00%,8.30%,12.80%
Salisbury UniversityMaster's | MD,444,50.70%,0.20%,8.80%,5.60%,2.30%,0.00%,80.90%,0.20%,0.20%,1.80%,17.10%
El Paso Community CollegeAssociate | TX,442,55.00%,0.00%,0.70%,2.30%,56.60%,0.00%,36.40%,0.00%,0.00%,4.10%,59.50%
Madison Area Technical CollegeAssociate | WI,442,52.30%,0.70%,2.70%,3.40%,3.90%,0.00%,84.20%,0.00%,5.20%,0.00%,10.60%
University of Colorado at Colorado SpringsMaster's | CO,439,51.00%,0.70%,8.70%,2.10%,4.60%,0.00%,73.80%,1.80%,8.40%,0.00%,17.80%
ECPI College of TechnologyBaccalaureate | VA,439,59.00%,0.50%,4.60%,19.40%,3.00%,0.20%,68.60%,2.50%,0.50%,0.90%,30.10%
Pasadena City CollegeAssociate | CA,438,58.70%,0.50%,5.50%,8.50%,18.30%,5.00%,54.10%,5.30%,1.40%,1.60%,42.90%
Collin CollegeAssociate | TX,438,57.30%,0.90%,7.30%,6.60%,5.50%,0.00%,78.30%,1.40%,0.00%,0.00%,21.70%
Pasadena City CollegeAssociate | CA,438,58.70%,0.50%,5.50%,8.50%,18.30%,5.00%,54.10%,5.30%,1.40%,1.60%,42.90%
Texas A&M University at Corpus ChristiDoctoral | TX,438,51.10%,0.20%,10.10%,2.10%,14.60%,0.00%,61.20%,1.60%,2.70%,7.50%,28.50%
University of Arkansas at Little RockDoctoral | AR,432,41.20%,0.20%,3.50%,5.30%,0.90%,0.00%,66.40%,2.50%,6.00%,15.00%,12.50%
Mercer UniversityDoctoral | GA,432,49.10%,0.00%,6.70%,12.70%,2.80%,0.00%,74.10%,0.70%,0.00%,3.00%,22.90%
University of the PacificDoctoral | CA,432,42.10%,0.20%,16.40%,1.20%,5.30%,0.00%,71.50%,0.70%,1.80%,2.80%,23.80%
Texas Southern UniversityDoctoral | TX,430,48.10%,0.20%,12.30%,66.50%,4.40%,0.00%,12.10%,0.00%,0.00%,4.40%,83.50%
Cuyahoga Community CollegeAssociate | OH,429,60.10%,0.20%,2.80%,14.20%,1.60%,0.00%,77.60%,0.50%,0.90%,2.10%,19.40%
